2026-04-17 11:29:02,722 - ALERT - IP: 192.168.1.16 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:36,218 - ALERT - IP: 192.168.1.179 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:37,265 - ALERT - IP: 192.168.1.85 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:38,299 - ALERT - IP: 192.168.1.222 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:30:39,343 - ALERT - IP: 192.168.1.226 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:40,378 - ALERT - IP: 192.168.1.246 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:41,414 - ALERT - IP: 192.168.1.86 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:42,451 - ALERT - IP: 192.168.1.35 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:43,489 - ALERT - IP: 192.168.1.136 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:44,529 - ALERT - IP: 192.168.1.140 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:45,576 - ALERT - IP: 192.168.1.162 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:46,619 - ALERT - IP: 192.168.1.118 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:47,657 - ALERT - IP: 192.168.1.157 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:30:48,703 - ALERT - IP: 192.168.1.53 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:49,741 - ALERT - IP: 192.168.1.204 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:50,780 - ALERT - IP: 192.168.1.5 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:30:51,820 - ALERT - IP: 192.168.1.207 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:52,858 - ALERT - IP: 192.168.1.136 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:53,894 - ALERT - IP: 192.168.1.169 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:54,929 - ALERT - IP: 192.168.1.85 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:55,965 - ALERT - IP: 192.168.1.34 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:56,999 - ALERT - IP: 192.168.1.43 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:58,036 - ALERT - IP: 192.168.1.6 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:59,070 - ALERT - IP: 192.168.1.214 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:00,108 - ALERT - IP: 192.168.1.222 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:01,144 - ALERT - IP: 192.168.1.99 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:02,192 - ALERT - IP: 192.168.1.13 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:03,226 - ALERT - IP: 192.168.1.252 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:04,265 - ALERT - IP: 192.168.1.113 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:05,300 - ALERT - IP: 192.168.1.138 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:06,335 - ALERT - IP: 192.168.1.195 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:07,371 - ALERT - IP: 192.168.1.249 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:08,414 - ALERT - IP: 192.168.1.1 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:09,455 - ALERT - IP: 192.168.1.245 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:10,505 - ALERT - IP: 192.168.1.166 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:11,543 - ALERT - IP: 192.168.1.45 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:12,580 - ALERT - IP: 192.168.1.30 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:13,618 - ALERT - IP: 192.168.1.161 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:14,654 - ALERT - IP: 192.168.1.222 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:15,692 - ALERT - IP: 192.168.1.87 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:16,728 - ALERT - IP: 192.168.1.65 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:17,770 - ALERT - IP: 192.168.1.35 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:18,813 - ALERT - IP: 192.168.1.93 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:19,850 - ALERT - IP: 192.168.1.149 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:20,906 - ALERT - IP: 192.168.1.139 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:21,944 - ALERT - IP: 192.168.1.113 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:22,985 - ALERT - IP: 192.168.1.45 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:24,027 - ALERT - IP: 192.168.1.228 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:25,061 - ALERT - IP: 192.168.1.25 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:26,100 - ALERT - IP: 192.168.1.28 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:27,135 - ALERT - IP: 192.168.1.103 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:28,173 - ALERT - IP: 192.168.1.131 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:29,212 - ALERT - IP: 192.168.1.103 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:30,248 - ALERT - IP: 192.168.1.38 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:31,283 - ALERT - IP: 192.168.1.183 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:32,319 - ALERT - IP: 192.168.1.106 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:33,365 - ALERT - IP: 192.168.1.73 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:34,401 - ALERT - IP: 192.168.1.125 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:35,437 - ALERT - IP: 192.168.1.82 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:36,480 - ALERT - IP: 192.168.1.94 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:37,517 - ALERT - IP: 192.168.1.18 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:38,563 - ALERT - IP: 192.168.1.100 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:39,684 - ALERT - IP: 192.168.1.250 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:40,721 - ALERT - IP: 192.168.1.6 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:41,755 - ALERT - IP: 192.168.1.192 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:42,789 - ALERT - IP: 192.168.1.235 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:43,826 - ALERT - IP: 192.168.1.104 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:44,862 - ALERT - IP: 192.168.1.52 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:45,897 - ALERT - IP: 192.168.1.222 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:46,934 - ALERT - IP: 192.168.1.197 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:47,971 - ALERT - IP: 192.168.1.10 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:49,028 - ALERT - IP: 192.168.1.212 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:50,065 - ALERT - IP: 192.168.1.133 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:51,102 - ALERT - IP: 192.168.1.135 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:31:52,142 - ALERT - IP: 192.168.1.220 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:53,176 - ALERT - IP: 192.168.1.205 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:54,211 - ALERT - IP: 192.168.1.61 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:31:55,249 - ALERT - IP: 192.168.1.61 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:56,287 - ALERT - IP: 192.168.1.7 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:57,335 - ALERT - IP: 192.168.1.123 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:31:58,379 - ALERT - IP: 192.168.1.163 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:31:59,434 - ALERT - IP: 192.168.1.89 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:00,471 - ALERT - IP: 192.168.1.23 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:32:01,512 - ALERT - IP: 192.168.1.183 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:02,556 - ALERT - IP: 192.168.1.44 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:03,601 - ALERT - IP: 192.168.1.206 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:04,636 - ALERT - IP: 192.168.1.73 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:05,681 - ALERT - IP: 192.168.1.59 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:06,720 - ALERT - IP: 192.168.1.78 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:07,759 - ALERT - IP: 192.168.1.232 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:08,795 - ALERT - IP: 192.168.1.175 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:09,831 - ALERT - IP: 192.168.1.135 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:10,879 - ALERT - IP: 192.168.1.11 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:11,921 - ALERT - IP: 192.168.1.227 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:12,957 - ALERT - IP: 192.168.1.204 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:13,991 - ALERT - IP: 192.168.1.127 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:15,030 - ALERT - IP: 192.168.1.73 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:16,067 - ALERT - IP: 192.168.1.38 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:17,102 - ALERT - IP: 192.168.1.197 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:18,136 - ALERT - IP: 192.168.1.79 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:32:19,172 - ALERT - IP: 192.168.1.151 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:20,209 - ALERT - IP: 192.168.1.90 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:32:21,244 - ALERT - IP: 192.168.1.12 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:22,294 - ALERT - IP: 192.168.1.213 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:23,334 - ALERT - IP: 192.168.1.204 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:24,370 - ALERT - IP: 192.168.1.246 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:25,409 - ALERT - IP: 192.168.1.201 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:26,448 - ALERT - IP: 192.168.1.45 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:27,492 - ALERT - IP: 192.168.1.28 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:32:28,555 - ALERT - IP: 192.168.1.64 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:29,607 - ALERT - IP: 192.168.1.168 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:30,645 - ALERT - IP: 192.168.1.21 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:31,697 - ALERT - IP: 192.168.1.47 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:32,734 - ALERT - IP: 192.168.1.88 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:33,772 - ALERT - IP: 192.168.1.231 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:34,808 - ALERT - IP: 192.168.1.58 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:32:35,852 - ALERT - IP: 192.168.1.75 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:36,895 - ALERT - IP: 192.168.1.19 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:32:37,931 - ALERT - IP: 192.168.1.170 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:38,968 - ALERT - IP: 192.168.1.187 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:40,011 - ALERT - IP: 192.168.1.208 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:41,048 - ALERT - IP: 192.168.1.158 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:32:42,093 - ALERT - IP: 192.168.1.144 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:32:43,133 - ALERT - IP: 192.168.1.112 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:32:44,170 - ALERT - IP: 192.168.1.22 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
